"id","description","last_updated"
"174400","Lamb, Australian, imported, fresh, composite of trimmed retail cuts, separable lean only, trimmed to 1/8"" fat, cooked","2019-04-01"
"174401","Lamb, Australian, imported, fresh, foreshank, separable lean only, trimmed to 1/8"" fat, raw","2019-04-01"
"174402","Lamb, Australian, imported, fresh, foreshank, separable lean only, trimmed to 1/8"" fat, cooked, braised","2019-04-01"
"174403","Lamb, Australian, imported, fresh, leg, whole (shank and sirloin), separable lean and fat, trimmed to 1/8"" fat, raw","2019-04-01"
"174404","Lamb, Australian, imported, fresh, leg, whole (shank and sirloin), separable lean and fat, trimmed to 1/8"" fat, cooked, roasted","2019-04-01"
"174405","Lamb, Australian, imported, fresh, leg, shank half, separable lean only, trimmed to 1/8"" fat, cooked, roasted","2019-04-01"
"174406","Lamb, Australian, imported, fresh, leg, sirloin half, boneless, separable lean and fat, trimmed to 1/8"" fat, raw","2019-04-01"
"174407","Lamb, Australian, imported, fresh, leg, sirloin half, boneless, separable lean and fat, trimmed to 1/8"" fat, cooked, roasted","2019-04-01"
"174408","Lamb, Australian, imported, fresh, leg, sirloin half, boneless, separable lean only, trimmed to 1/8"" fat, raw","2019-04-01"
"174409","Lamb, Australian, imported, fresh, leg, sirloin chops, boneless, separable lean only, trimmed to 1/8"" fat, cooked, broiled","2019-04-01"
"174410","Lamb, Australian, imported, fresh, leg, center slice, bone-in, separable lean and fat, trimmed to 1/8"" fat, raw","2019-04-01"
"174411","Lamb, Australian, imported, fresh, leg, center slice, bone-in, separable lean and fat, trimmed to 1/8"" fat, cooked, broiled","2019-04-01"
"174412","Lamb, Australian, imported, fresh, leg, center slice, bone-in, separable lean only, trimmed to 1/8"" fat, raw","2019-04-01"
"174413","Lamb, Australian, imported, fresh, loin, separable lean only, trimmed to 1/8"" fat, cooked, broiled","2019-04-01"
"174414","Lamb, Australian, imported, fresh, rib chop/rack roast, frenched, bone-in, separable lean and fat, trimmed to 1/8"" fat, raw","2019-04-01"
"174415","Lamb, Australian, imported, fresh, rib chop, frenched, bone-in, separable lean and fat, trimmed to 1/8"" fat, cooked, grilled","2019-04-01"
"174416","Lamb, Australian, imported, fresh, rib chop/rack roast, frenched, bone-in, separable lean only, trimmed to 1/8"" fat, raw","2019-04-01"
"174417","Lamb, Australian, imported, fresh, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, raw","2019-04-01"
"174418","Lamb, Australian, imported, fresh, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, cooked, braised","2019-04-01"
"174419","Lamb, Australian, imported, fresh, shoulder, arm, separable lean only, trimmed to 1/8"" fat, raw","2019-04-01"
"174420","Lamb, Australian, imported, fresh, shoulder, arm, separable lean only,   trimmed to 1/8"" fat, cooked, braised","2019-04-01"
"174421","Game meat , bison, ground, raw","2019-04-01"
"174422","Game meat, bison, ground, cooked, pan-broiled","2019-04-01"
"174423","Game meat , bison, top sirloin, separable lean only, 1"" steak, cooked, broiled","2019-04-01"
"174424","Game meat, bison, chuck, shoulder clod, separable lean only, cooked, braised","2019-04-01"
"174425","Game meat, elk, ground, raw","2019-04-01"
"174426","Game meat, elk, ground, cooked, pan-broiled","2019-04-01"
"174427","Game meat, elk, loin, separable lean only, cooked, broiled","2019-04-01"
"174428","Game meat, elk, round, separable lean only, cooked, broiled","2019-04-01"
"174429","Game meat, elk, tenderloin, separable lean only, cooked, broiled","2019-04-01"
"174430","Game meat, deer, tenderloin, separable lean only, cooked, broiled","2019-04-01"
"174431","Game meat, deer, top round, separable lean only, 1"" steak, cooked, broiled","2019-04-01"
"174432","Veal, Australian, shank, fore, bone-in, separable lean only, raw","2019-04-01"
"174433","Veal, Australian, shank, fore, bone-in, separable lean and fat, raw","2019-04-01"
"174434","Lamb, New Zealand, imported, Intermuscular fat, raw","2019-04-01"
"174435","Lamb, New Zealand, imported, subcutaneous fat, raw","2019-04-01"
"174436","Lamb, New Zealand, imported, brains, cooked, soaked and fried","2019-04-01"
"174437","Lamb, New Zealand, imported, brains, raw","2019-04-01"
"174438","Lamb, New Zealand, imported, chump, boneless, separable lean only, raw","2019-04-01"
"174439","Lamb, New Zealand, imported, kidney, cooked, soaked and fried","2019-04-01"
"174440","Lamb, New Zealand, imported, flap, boneless, separable lean only, cooked, braised","2019-04-01"
"174441","Lamb, New Zealand, imported, flap, boneless, separable lean only, raw","2019-04-01"
"174442","Lamb, New Zealand, imported, kidney, raw","2019-04-01"
"174443","Lamb, New Zealand, imported, heart, cooked, soaked and simmered","2019-04-01"
"174444","Lamb, New Zealand, imported, heart, raw","2019-04-01"
"174445","Lamb, New Zealand, imported, sweetbread, cooked, soaked and simmered","2019-04-01"
"174446","Lamb, New Zealand, imported, sweetbread, raw","2019-04-01"
"174447","Lamb, New Zealand, imported, tunnel-boned leg, chump off, shank off, separable lean only, cooked, slow roasted","2019-04-01"
"174448","Lamb, New Zealand, imported, tunnel-boned leg, chump off, shank off, separable lean only, raw","2019-04-01"
"174449","Lamb, New Zealand, imported, square-cut shoulder chops, separable lean only, cooked, braised","2019-04-01"
"174450","Lamb, New Zealand, imported, square-cut shoulder chops, separable lean only, raw","2019-04-01"
"174451","Lamb, New Zealand, imported, loin, boneless, separable lean only, cooked, fast roasted","2019-04-01"
"174452","Lamb, New Zealand, imported, loin, boneless, separable lean only, raw","2019-04-01"
"174453","Lamb, New Zealand, imported, hind-shank, separable lean only, cooked, braised","2019-04-01"
"174454","Lamb, New Zealand, imported, hind-shank, separable lean only, raw","2019-04-01"
"174455","Lamb, New Zealand, imported, neck chops, separable lean only, raw","2019-04-01"
"174456","Lamb, New Zealand, imported, rack - fully frenched, separable lean only, raw","2019-04-01"
"174457","Lamb, New Zealand, imported, loin chop, separable lean only, cooked, fast fried","2019-04-01"
"174458","Lamb, New Zealand, imported, square-cut shoulder, separable lean only, cooked, slow roasted","2019-04-01"
"174459","Lamb, New Zealand, imported, leg chop/steak, bone-in, separable lean only, cooked, fast fried","2019-04-01"
"174460","Lamb, New Zealand, imported, leg chop/steak, bone-in, separable lean and fat, cooked, fast fried","2019-04-01"
"174461","Lamb, New Zealand, imported, loin chop, separable lean and fat, cooked, fast fried","2019-04-01"
"174462","Lamb, New Zealand, imported, loin saddle, separable lean and fat, cooked, fast roasted","2019-04-01"
"174463","Lamb, New Zealand, imported, loin saddle, separable lean and fat, raw","2019-04-01"
"174464","Lamb, New Zealand, imported, netted shoulder, rolled, boneless, separable lean and fat, raw","2019-04-01"
"174465","Chicken, capons, giblets, raw","2019-04-01"
"174466","Chicken, capons, giblets, cooked, simmered","2019-04-01"
"174467","Duck, domesticated, liver, raw","2019-04-01"
"174468","Duck, wild, meat and skin, raw","2019-04-01"
"174469","Duck, wild, breast, meat only, raw","2019-04-01"
"174470","Goose, domesticated, meat and skin, raw","2019-04-01"
"174471","Guinea hen, meat only, raw","2019-04-01"
"174472","Pheasant, raw, meat and skin","2019-04-01"
"174473","Pheasant, raw, meat only","2019-04-01"
"174474","Pheasant, breast, meat only, raw","2019-04-01"
"174475","Squab, (pigeon), meat and skin, raw","2019-04-01"
"174476","Emu, fan fillet, raw","2019-04-01"
"174477","Emu, fan fillet, cooked, broiled","2019-04-01"
"174478","Emu, flat fillet, raw","2019-04-01"
"174479","Emu, full rump, raw","2019-04-01"
"174480","Emu, top loin, cooked, broiled","2019-04-01"
"174481","Ostrich, ground, raw","2019-04-01"
"174482","Ostrich, ground, cooked, pan-broiled","2019-04-01"
"174483","Ostrich, fan, raw","2019-04-01"
"174484","Ostrich, outside leg, raw","2019-04-01"
"174485","Ostrich, outside strip, raw","2019-04-01"
"174486","Ostrich, outside strip, cooked","2019-04-01"
"174487","Ostrich, oyster, raw","2019-04-01"
"174488","Ostrich, tip trimmed, cooked","2019-04-01"
"174489","Ostrich, top loin, raw","2019-04-01"
"174490","Ostrich, top loin, cooked","2019-04-01"
"174491","Chicken, liver, all classes, cooked, pan-fried","2019-04-01"
"174492","Turkey, ground, 93% lean, 7% fat, patties, broiled","2019-04-01"
"174493","Turkey, ground, 85% lean, 15% fat, raw","2019-04-01"
"174494","Turkey, ground, 85% lean, 15% fat, pan-broiled crumbles","2019-04-01"
"174495","Turkey, ground, 85% lean, 15% fat, patties, broiled","2019-04-01"
"174496","Chicken, skin (drumsticks and thighs), cooked, roasted","2019-04-01"
"174497","Chicken, broilers or fryers, dark meat, drumstick, meat and skin, cooked, braised","2019-04-01"
"174498","Chicken, broilers or fryers, dark meat, thigh, meat and skin, cooked, braised","2019-04-01"
"174499","Chicken, dark meat, drumstick, meat only, with added solution, raw","2019-04-01"
"174500","Chicken, dark meat, thigh, meat only, with added solution, cooked, roasted","2019-04-01"
"174501","Chicken, skin (drumsticks and thighs), with added solution, cooked, braised","2019-04-01"
"174502","Chicken, skin (drumsticks and thighs), with added solution, raw","2019-04-01"
"174503","Chicken, skin (drumsticks and thighs), with added solution, cooked, roasted","2019-04-01"
"174504","Chicken, dark meat, drumstick, meat and skin, with added solution, cooked, braised","2019-04-01"
"174505","Chicken, dark meat, thigh, meat and skin, with added solution, cooked, roasted","2019-04-01"
"174506","Chicken, broiler, rotisserie, BBQ, back meat only","2019-04-01"
"174507","Turkey, dark meat from whole, meat only, with added solution, raw","2019-04-01"
"174508","Turkey, dark meat, meat only, with added solution, cooked, roasted","2019-04-01"
"174509","Turkey, dark meat from whole, meat and skin, with added solution, raw","2019-04-01"
"174510","Turkey, dark meat from whole, meat and skin, with added solution, cooked, roasted","2019-04-01"
"174511","Turkey from whole, light meat, meat and skin, with added solution, raw","2019-04-01"
"174512","Turkey from whole, light meat, meat and skin, with added solution, cooked, roasted","2019-04-01"
"174513","Turkey, retail parts, breast, meat only, with added solution, raw","2019-04-01"
"174514","Turkey, retail parts, breast, meat only, with added solution, cooked, roasted","2019-04-01"
"174515","Turkey, retail parts, breast, meat only, raw","2019-04-01"
"174516","Turkey, retail parts, breast, meat only, cooked, roasted","2019-04-01"
"174517","Turkey, retail parts, wing, meat only, raw","2019-04-01"
"174518","Turkey, retail parts, thigh, meat only, raw","2019-04-01"
"174519","Turkey, breast, from whole bird, meat only, with added solution, roasted","2019-04-01"
"174520","Turkey, back, from whole bird, meat only, with added solution, raw","2019-04-01"
"174521","Turkey, back, from whole bird, meat only, with added solution, roasted","2019-04-01"
"174522","Soup, chicken mushroom, canned, condensed","2019-04-01"
"174523","Sauce, barbecue","2019-04-01"
"174524","Sauce, salsa, ready-to-serve","2019-04-01"
"174525","Sauce, homemade, white, medium","2019-04-01"
"174526","Sauce, homemade, white, thick","2019-04-01"
"174527","Sauce, ready-to-serve, pepper or hot","2019-04-01"
"174528","Sauce, ready-to-serve, pepper, TABASCO","2019-04-01"
"174529","Sauce, oyster, ready-to-serve","2019-04-01"
"174530","Soup, minestrone, canned, reduced sodium, ready-to-serve","2019-04-01"
"174531","Sauce, fish, ready-to-serve","2019-04-01"
"174532","Soup, shark fin, restaurant-prepared","2019-04-01"
"174533","Soup, bean & ham, canned, reduced sodium, prepared with water or ready-to-serve","2019-04-01"
"174534","Split pea soup, canned, reduced sodium, prepared with water or ready-to serve","2019-04-01"
"174535","Split pea with ham soup, canned, reduced sodium, prepared with water or ready-to-serve","2019-04-01"
"174536","Soup, chicken broth, ready-to-serve","2019-04-01"
"174537","Soup, cream of chicken, canned, prepared with equal volume milk","2019-04-01"
"174538","Soup, vegetable, canned, low sodium, condensed","2019-04-01"
"174539","Soup, clam chowder, new england, canned, prepared with equal volume low fat (2%) milk","2019-04-01"
"174540","Soup, cream of mushroom, canned, prepared with equal volume low fat (2%) milk","2019-04-01"
"174541","Soup, cream of onion, canned, prepared with equal volume milk","2019-04-01"
"174542","Sauce, white, thin, prepared-from-recipe, with butter","2019-04-01"
"174543","Sauce, sweet and sour, prepared-from-recipe","2019-04-01"
"174544","Sauce, barbecue, KRAFT, original","2019-04-01"
"174545","Soup, HEALTHY CHOICE Chicken Noodle Soup, canned","2019-04-01"
"174546","Soup, tomato, canned, prepared with equal volume low fat (2%) milk","2019-04-01"
"174547","CAMPBELL'S, Tomato Soup, condensed","2019-04-01"
"174548","CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup","2019-04-01"
"174549","Soup, cream of asparagus, canned, prepared with equal volume water","2019-04-01"
"174550","Soup, cheese, canned, prepared with equal volume water","2019-04-01"
"174551","Soup, chicken broth, canned, prepared with equal volume water","2019-04-01"
"174552","CAMPBELL'S CHUNKY, Hearty Beef Barley Soup","2019-04-01"
"174553","Soup, cream of chicken, canned, prepared with equal volume water","2019-04-01"
"174554","Soup, clam chowder, manhattan, canned, prepared with equal volume water","2019-04-01"
"174555","Soup, clam chowder, new england, canned, prepared with equal volume water","2019-04-01"
"174556","CAMPBELL'S CHUNKY, New England Clam Chowder","2019-04-01"
"174557","Soup, beef broth, bouillon, consomme, prepared with equal volume water","2019-04-01"
"174558","Soup, mushroom with beef stock, canned, prepared with equal volume water","2019-04-01"
"174559","Soup, cream of onion, canned, prepared with equal volume water","2019-04-01"
"174560","Soup, oyster stew, canned, prepared with equal volume water","2019-04-01"
"174561","Soup, pea, green, canned, prepared with equal volume water","2019-04-01"
"174562","Soup, turkey noodle, canned, prepared with equal volume water","2019-04-01"
"174563","Soup, turkey vegetable, canned, prepared with equal volume water","2019-04-01"
"174564","Soup, vegetarian vegetable, canned, prepared with equal volume water","2019-04-01"
"174565","Soup, vegetable beef, canned, prepared with equal volume water","2019-04-01"
"174566","Soup, chicken broth cubes, dry, prepared with water","2019-04-01"
"174567","Soup, cream of chicken, dry, mix, prepared with water","2019-04-01"
"174568","Soup, onion, dry, mix, prepared with water","2019-04-01"
"174569","Soup, tomato, dry, mix, prepared with water","2019-04-01"
"174570","Roast beef, deli style, prepackaged, sliced","2019-04-01"
"174571","Luncheon meat, pork, canned","2019-04-01"
"174572","Turkey breast, low salt, prepackaged or deli, luncheon meat","2019-04-01"
"174573","Mortadella, beef, pork","2019-04-01"
"174574","Peppered loaf, pork, beef","2019-04-01"
"174575","Pepperoni, beef and pork, sliced","2019-04-01"
"174576","Pickle and pimiento loaf, pork","2019-04-01"
"174577","Polish sausage, pork","2019-04-01"
"174578","Pork sausage, link/patty, cooked, pan-fried","2019-04-01"
"174579","Sausage, pork and beef, fresh, cooked","2019-04-01"
"174580","Sausage, turkey, reduced fat, brown and serve, cooked","2019-04-01"
"174581","Poultry salad sandwich spread","2019-04-01"
"174582","Salami, dry or hard, pork, beef","2019-04-01"
"174583","Sandwich spread, pork, beef","2019-04-01"
"174584","Sausage, smoked link sausage, pork","2019-04-01"
"174585","Sausage, smoked link sausage, pork and beef","2019-04-01"
"174586","Sausage, Italian, pork, mild, cooked, pan-fried","2019-04-01"
"174587","Luncheon sausage, pork and beef","2019-04-01"
"174588","Sausage, New england brand, pork, beef","2019-04-01"
"174589","Oscar Mayer, Bologna (beef)","2019-04-01"
"174590","Oscar Mayer, Smokies Sausage Little Cheese (pork, turkey)","2019-04-01"
"174591","Oscar Mayer, Wieners (beef franks)","2019-04-01"
"174592","Bacon, turkey, unprepared","2019-04-01"
"174593","Hormel Pillow Pak Sliced Turkey Pepperoni","2019-04-01"
"174594","Luncheon meat, pork and chicken, minced, canned, includes Spam Lite","2019-04-01"
"174595","Bratwurst, veal, cooked","2019-04-01"
"174596","Liverwurst spread","2019-04-01"
"174597","Roast beef spread","2019-04-01"
"174598","Salami, pork, beef, less sodium","2019-04-01"
"174599","Sausage, summer, pork and beef, sticks, with cheddar cheese","2019-04-01"
"174600","Sausage, turkey, breakfast links, mild, raw","2019-04-01"
"174601","Swisswurst, pork and beef, with swiss cheese, smoked","2019-04-01"
"174602","Bacon and beef sticks","2019-04-01"
"174603","Salami, Italian, pork","2019-04-01"
"174604","Sausage, Italian, turkey, smoked","2019-04-01"
"174605","Sausage, chicken, beef, pork, skinless, smoked","2019-04-01"
"174606","Sausage, turkey, hot, smoked","2019-04-01"
"174607","Kielbasa, Polish, turkey and beef, smoked","2019-04-01"
"174608","Chicken breast, roll, oven-roasted","2019-04-01"
"174609","Bologna, pork and turkey, lite","2019-04-01"
"174610","Bologna, pork, turkey and beef","2019-04-01"
"174611","Ham, honey, smoked, cooked","2019-04-01"
"174612","Turkey, breast, smoked, lemon pepper flavor, 97% fat-free","2019-04-01"
"174613","Turkey, white, rotisserie, deli cut","2019-04-01"
"174614","Frankfurter, beef, heated","2019-04-01"
"174615","Frankfurter, meat, heated","2019-04-01"
"174616","Sausage, breakfast sausage, beef, pre-cooked, unprepared","2019-04-01"
"174617","Sausage, turkey, fresh, raw","2019-04-01"
"174618","Sausage, beef, fresh, cooked","2019-04-01"
"174619","Cereals ready-to-eat, MALT-O-MEAL, COCO-ROOS","2019-04-01"
"174620","Cereals ready-to-eat, QUAKER, QUAKER OAT CINNAMON LIFE","2019-04-01"
"174621","Cereals ready-to-eat, QUAKER, HONEY GRAHAM OH!S","2019-04-01"
"174622","Cereals ready-to-eat, QUAKER, Oatmeal Squares","2019-04-01"
"174623","Cereals ready-to-eat, QUAKER, Oatmeal Squares, cinnamon","2019-04-01"
"174624","Cereals, QUAKER, Instant Oatmeal, fruit and cream variety, dry","2019-04-01"
"174625","Cereals, QUAKER, Instant Oatmeal, raisins, dates and walnuts, dry","2019-04-01"
"174626","Cereals, QUAKER, Oat Bran, QUAKER/MOTHER'S Oat Bran, dry","2019-04-01"
"174627","Cereals, QUAKER, Oat Bran, QUAKER/MOTHER'S Oat Bran, prepared with water, no salt","2019-04-01"
"174628","Cereals ready-to-eat, Post, Waffle Crisp","2019-04-01"
"174629","Cereals, QUAKER, hominy grits, white, quick, dry","2019-04-01"
"174630","Cereals, QUAKER, hominy grits, white, regular, dry","2019-04-01"
"174631","Cereals ready-to-eat, MALT-O-MEAL, COLOSSAL CRUNCH","2019-04-01"
"174632","Cereals ready-to-eat, QUAKER, MOTHER'S Cinnamon Oat Crunch","2019-04-01"
"174633","Cereals ready-to-eat, QUAKER, MOTHER'S GRAHAM BUMPERS","2019-04-01"
"174634","Cereals ready-to-eat, QUAKER, MOTHER'S COCOA BUMPERS","2019-04-01"
"174635","Cereals ready-to-eat, SUN COUNTRY, KRETSCHMER Toasted Wheat Bran","2019-04-01"
"174636","Cereals, QUAKER, Instant Oatmeal, Cinnamon-Spice, dry","2019-04-01"
"174637","Cereals, QUAKER, Instant Oatmeal, DINOSAUR EGGS, Brown Sugar, dry","2019-04-01"
"174638","Cereals, QUAKER, Instant Oatmeal, Banana Bread, dry","2019-04-01"
"174639","Cereals ready-to-eat, UNCLE SAM CEREAL","2019-04-01"
"174640","Cereals, QUAKER, Quick Oats with Iron, Dry","2019-04-01"
"174641","Cereals, QUAKER, Whole Wheat Natural Cereal, dry","2019-04-01"
"174642","Cereals ready-to-eat, MALT-O-MEAL, Honey BUZZERS","2019-04-01"
"174643","Cereals ready-to-eat, MALT-O-MEAL, GOLDEN PUFFS","2019-04-01"
"174644","Cereals ready-to-eat, MOM'S BEST, Honey Nut TOASTY O'S","2019-04-01"
"174645","Cereals ready-to-eat, MALT-O-MEAL, Apple ZINGS","2019-04-01"
"174646","Cereals ready-to-eat, MALT-O-MEAL, CINNAMON TOASTERS","2019-04-01"
"174647","Cereals ready-to-eat, MALT-O-MEAL, Cocoa DYNO-BITES","2019-04-01"
"174648","Cereals ready-to-eat, RALSTON Corn Flakes","2019-04-01"
"174649","Cereals ready-to-eat, RALSTON Crispy Hexagons","2019-04-01"
"174650","Milk and cereal bar","2019-04-01"
"174651","Cereals, MALT-O-MEAL, original, plain, prepared with water, without salt","2019-04-01"
"174652","Cereals ready-to-eat, QUAKER, Christmas Crunch","2019-04-01"
"174653","Cereals ready-to-eat, POST SELECTS Maple Pecan Crunch","2019-04-01"
"174654","Cereals ready-to-eat, NATURE'S PATH, Organic FLAX PLUS, Pumpkin Granola","2019-04-01"
"174655","Cereals, CREAM OF WHEAT, 2 1/2 minute cook time, dry","2019-04-01"
"174656","Incaparina, dry mix (corn and soy flours), unprepared","2019-04-01"
"174657","Cereals ready-to-eat, QUAKER, CAP'N CRUNCH'S Halloween Crunch","2019-04-01"
"174658","Cereals ready-to-eat, QUAKER, Natural Granola Apple Cranberry Almond","2019-04-01"
"174659","Cereals ready-to-eat, QUAKER, Maple Brown Sugar LIFE Cereal","2019-04-01"
"174660","Cereals, QUAKER, Instant Oatmeal Organic, Regular","2019-04-01"
"174661","Cereals, QUAKER, Instant Oatmeal, fruit and cream, variety of flavors, reduced sugar","2019-04-01"
"174662","Cereals, QUAKER, Instant Oatmeal, Apple and Cinnamon, reduced sugar","2019-04-01"
"174663","Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, pecan bunches","2019-04-01"
"174664","Cereals ready-to-eat, MALT-O-MEAL, CHOCOLATE MARSHMALLOW MATEYS","2019-04-01"
"174665","Figs, dried, uncooked","2019-04-01"
"174666","Figs, dried, stewed","2019-04-01"
"174667","Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids","2019-04-01"
"174668","Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, juice pack, solids and liquids","2019-04-01"
"174669","Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, water pack, solids and liquids","2019-04-01"
"174670","Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, juice pack, solids and liquids","2019-04-01"
"174671","Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, light syrup, solids and liquids","2019-04-01"
"174672","Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, extra heavy syrup, solids and liquids","2019-04-01"
"174673","Grapefruit, raw, pink and red, all areas","2019-04-01"
"174674","Grapefruit, raw, pink and red, California and Arizona","2019-04-01"
"174675","Grapefruit, raw, pink and red, Florida","2019-04-01"
"174676","Grapefruit, raw, white, all areas","2019-04-01"
"174677","Grapefruit, raw, white, California","2019-04-01"
"174678","Grapefruit juice, white, canned or bottled, unsweetened","2019-04-01"
"174679","Grapefruit juice, white, canned, sweetened","2019-04-01"
"174680","Grapefruit juice, white, frozen concentrate, unsweetened, undiluted","2019-04-01"
"174681","Grapefruit juice, white, frozen concentrate, unsweetened, diluted with 3 volume water","2019-04-01"
"174682","Grapes, american type (slip skin), raw","2019-04-01"
"174683","Grapes, red or green (European type, such as Thompson seedless), raw","2019-04-01"
"174684","Grapes, canned, thompson seedless, water pack, solids and liquids","2019-04-01"
"174685","Grapes, canned, thompson seedless, heavy syrup pack, solids and liquids","2019-04-01"
"174686","Guava sauce, cooked","2019-04-01"
"174687","Jackfruit, raw","2019-04-01"
"174688","Beef, top loin filet, boneless, separable lean only, trimmed to 1/8"" fat, all grades, cooked, grilled","2019-04-01"
"174689","Beef, top loin filet, boneless, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled","2019-04-01"
"174690","Beef, top loin filet, boneless, separable lean only, trimmed to 1/8"" fat, select, cooked, grilled","2019-04-01"
"174691","Beef, top loin petite roast/filet, boneless, separable lean only, trimmed to 1/8"" fat, choice, raw","2019-04-01"
"174692","Beef, top loin petite roast/filet, boneless, separable lean only, trimmed to 1/8"" fat, select, raw","2019-04-01"
"174693","Beef, loin, top sirloin filet, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled","2019-04-01"
"174694","Beef, loin, top sirloin filet, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled","2019-04-01"
"174695","Beef, loin, top sirloin petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, select, raw","2019-04-01"
"174696","Beef, ribeye  petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, all grades, raw","2019-04-01"
"174697","Beef, ribeye  petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, choice, raw","2019-04-01"
"174698","Beef, ribeye  petite roast/filet, boneless, separable lean only, trimmed to 0"" fat, select, raw","2019-04-01"
"174699","Beef, ribeye cap steak, boneless, separable lean only, trimmed to 0"" fat, choice, raw","2019-04-01"
"174700","Beef, ribeye cap steak, boneless, separable lean only, trimmed to 0"" fat, select, raw","2019-04-01"
"174701","Beef, ribeye filet, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled","2019-04-01"
"174702","Beef, ribeye filet, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled","2019-04-01"
"174703","Beef, ribeye filet, boneless, separable lean only, trimmed to 0"" fat, select, cooked, grilled","2019-04-01"
"174704","Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled","2019-04-01"
"174705","Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled","2019-04-01"
"174706","Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, all grades, raw","2019-04-01"
"174707","Beef, loin, top sirloin cap steak, boneless, separable lean and fat, trimmed to 1/8"" fat, choice, raw","2019-04-01"
"174708","Beef, top loin petite roast, boneless, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted","2019-04-01"
"174709","Beef, top loin petite roast, boneless, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted","2019-04-01"
"174710","Beef, top loin petite roast, boneless, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted","2019-04-01"
"174711","Beef, top loin petite roast/filet, boneless, separable lean and fat, trimmed to 1/8"" fat, all grades, raw","2019-04-01"
"174712","Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled","2019-04-01"
"174713","Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled","2019-04-01"
"174714","Beef, loin, top loin steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled","2019-04-01"
"174715","Beef, New Zealand, imported, bolar blade, separable lean only, cooked, fast roasted","2019-04-01"
"174716","Beef, New Zealand, imported, bolar blade, separable lean only, raw","2019-04-01"
"174717","Beef, New Zealand, imported, brisket navel end, separable lean only, cooked, braised","2019-04-01"
"174718","Beef, New Zealand, imported, brisket navel end, separable lean only, raw","2019-04-01"
"174719","Beef, New Zealand, imported, cube roll, separable lean only, cooked, fast roasted","2019-04-01"
"174720","Beef, New Zealand, imported, cube roll, separable lean only, raw","2019-04-01"
"174721","Beef, New Zealand, imported, eye round, separable lean only, cooked, slow roasted","2019-04-01"
"174722","Beef, New Zealand, imported, eye round, separable lean only, raw","2019-04-01"
"174723","Beef, New Zealand, imported, variety meats and by-products, heart, raw","2019-04-01"
"174724","Beef, New Zealand, imported, hind shin, separable lean only, cooked, braised","2019-04-01"
"174725","Beef, New Zealand, imported, hind shin, separable lean only, raw","2019-04-01"
"174726","Beef, New Zealand, imported, inside, raw","2019-04-01"
"174727","Beef, New Zealand, imported, variety meats and by-products, kidney, raw","2019-04-01"
"174728","Beef, New Zealand, imported, variety meats and by-products liver, cooked, boiled","2019-04-01"
"174729","Beef, New Zealand, imported, variety meats and by-products, liver, raw","2019-04-01"
"174730","Beef, New Zealand, imported, manufacturing beef, cooked, boiled","2019-04-01"
"174731","Beef, New Zealand, imported, ribs prepared, raw","2019-04-01"
"174732","Beef, New Zealand, imported, rump centre, separable lean only, cooked, fast fried","2019-04-01"
"174733","Beef, New Zealand, imported, striploin, separable lean only, cooked, fast fried","2019-04-01"
"174734","Beef, New Zealand, imported, striploin, separable lean only, raw","2019-04-01"
"174735","Beef, New Zealand, imported, oyster blade, separable lean and fat, raw","2019-04-01"
"174736","Beef, New Zealand, imported, tenderloin, separable lean only, raw","2019-04-01"
"174737","Beef, New Zealand, imported, variety meats and by-products, tongue, cooked, boiled","2019-04-01"
"174738","Beef, New Zealand, imported, variety meats and by-products, tongue, raw","2019-04-01"
"174739","Beef, New Zealand, imported, brisket navel end, separable lean and fat, cooked, braised","2019-04-01"
